1,Wall Of Glass,Liam Gallagher
2,Dig Down,Muse
3,Everything Now,Arcade Fire
4,Amsterdam,Nothing But Thieves
5,Don't Matter Now,George Ezra
6,Run,Foo Fighters
7,I Only Lie When I Love You,Royal Blood
8,California,Mallory Knox
9,Holding On,The War On Drugs
10,Ill Ray (The King),Kasabian
11,"Hook, Line & Sinker",Royal Blood
12,I Promise,Radiohead
13,Freeze Me,Death From Above 1979
14,Call The Police,LCD Soundsystem
15,All I Want,Ride
16,The Man,Killers
17,Was It Really Worth It?,The Sherlocks
18,Wallflowers,The Chain Gang Of 1974
19,Creature Comfort,Arcade Fire
20,The Way You Used To Do,Queens Of The Stone Age
