1,Amsterdam,Nothing But Thieves
2,Wall Of Glass,Liam Gallagher
3,Everything Now,Arcade Fire
4,California,Mallory Knox
5,Run,Foo Fighters
6,Dig Down,Muse
7,Freeze Me,Death From Above 1979
8,Ill Ray (The King),Kasabian
9,I Only Lie When I Love You,Royal Blood
10,Higher,Eliza and the Bear
11,Robbers,Youngblood Hawke
12,Holding On,The War On Drugs
13,Don't Matter Now,George Ezra
14,Revolution Radio,Green Day
15,"Hook, Line & Sinker",Royal Blood
16,Holidaze,Cold Fronts
17,All Things Pass,The Jesus and Mary Chain
18,I Promise,Radiohead
19,The Man,Killers
20,Was It Really Worth It?,The Sherlocks
21,Creature Comfort,Arcade Fire
22,All I Want,Ride
23,Call Me Out,Sea Girls
24,Do You Wanna?,M I S F I R E S
25,Wallflowers,The Chain Gang Of 1974
26,The Way You Used To Do,Queens Of The Stone Age
27,Honest,False Advertising
28,Call The Police,LCD Soundsystem
29,GIRLS GIRLS,Icona Pop
30,Not All Heroes Wear Capes,Owl City
--
31,REACT,Otherkin
32,What's Wrong,Paris
33,Heartland,Tom Walker
34,Summer of Luv,Fizzy Blood
35,Glory,Bastille
36,LAIDBACK,RAT BOY
37,In Your Palace,The Cribs
38,When I Dance With You,The Pains Of Being Pure At Heart
39,My My My,Tom Speight
40,Roads,Kid Astray
(41,Hula Hoop 8000,Monarchy)
