1,Run,Foo Fighters
2,Amsterdam,Nothing But Thieves
3,Wall Of Glass,Liam Gallagher
4,California,Mallory Knox
5,Everything Now,Arcade Fire
6,Dig Down,Muse
7,Robbers,Youngblood Hawke
8,Freeze Me,Death From Above 1979
9,Ill Ray (The King),Kasabian
10,Higher,Eliza and the Bear
11,Revolution Radio,Green Day
12,I Only Lie When I Love You,Royal Blood
13,Holding On,The War On Drugs
14,Signs Of Life,Arcade Fire
15,"Hook, Line & Sinker",Royal Blood
16,The Man,Killers
17,Don't Matter Now,George Ezra
18,Listen To Your Heart,Starsailor
19,All Things Pass,The Jesus and Mary Chain
20,Somebody Else,Circa Waves
21,Holidaze,Cold Fronts
22,Take Me Back Home,Coasts
23,Overnight,Parcels
24,Was It Really Worth It?,The Sherlocks
25,Call Me Out,Sea Girls
26,I Promise,Radiohead
27,What Equals Love,Maximo Park
28,All I Want,Ride
29,Wallflowers,The Chain Gang Of 1974
30,Don't Kill My Vibe,Sigrid
