1,,1,Wall Of Glass,Liam Gallagher
2,,1,Dig Down,Muse
3,,1,Everything Now,Arcade Fire
4,,1,Amsterdam,Nothing But Thieves
5,,1,Don't Matter Now,George Ezra
6,,1,Run,Foo Fighters
7,,1,I Only Lie When I Love You,Royal Blood
8,,1,California,Mallory Knox
9,,1,Holding On,The War On Drugs
10,,1,Ill Ray (The King),Kasabian
11,,1,"Hook, Line & Sinker",Royal Blood
12,,1,I Promise,Radiohead
13,,1,Freeze Me,Death From Above 1979
14,,1,Call The Police,LCD Soundsystem
15,,1,All I Want,Ride
16,,1,The Man,Killers
17,,1,Was It Really Worth It?,The Sherlocks
18,,1,Wallflowers,The Chain Gang Of 1974
19,,1,Creature Comfort,Arcade Fire
20,,1,The Way You Used To Do,Queens Of The Stone Age
