1,5,3,Run,Foo Fighters
2,1,3,Amsterdam,Nothing But Thieves
3,2,3,Wall Of Glass,Liam Gallagher
4,4,3,California,Mallory Knox
5,3,3,Everything Now,Arcade Fire
6,6,3,Dig Down,Muse
7,11,2,Robbers,Youngblood Hawke
8,7,3,Freeze Me,Death From Above 1979
9,8,3,Ill Ray (The King),Kasabian
10,10,2,Higher,Eliza and the Bear
11,14,2,Revolution Radio,Green Day
12,9,3,I Only Lie When I Love You,Royal Blood
13,12,3,Holding On,The War On Drugs
14,,1,Signs Of Life,Arcade Fire
15,15,3,"Hook, Line & Sinker",Royal Blood
16,19,3,The Man,Killers
17,13,3,Don't Matter Now,George Ezra
18,,1,Listen To Your Heart,Starsailor
19,17,2,All Things Pass,The Jesus and Mary Chain
20,,1,Somebody Else,Circa Waves
21,16,2,Holidaze,Cold Fronts
22,,1,Take Me Back Home,Coasts
23,,1,Overnight,Parcels
24,20,3,Was It Really Worth It?,The Sherlocks
25,23,2,Call Me Out,Sea Girls
26,18,3,I Promise,Radiohead
27,,1,What Equals Love,Maximo Park
28,22,3,All I Want,Ride
29,25,3,Wallflowers,The Chain Gang Of 1974
30,,1,Don't Kill My Vibe,Sigrid
