1,1,4,Run,Foo Fighters
2,2,4,Amsterdam,Nothing But Thieves
3,4,4,California,Mallory Knox
4,7,3,Robbers,Youngblood Hawke
5,5,4,Everything Now,Arcade Fire
6,14,2,Signs Of Life,Arcade Fire
7,3,4,Wall Of Glass,Liam Gallagher
8,11,3,Revolution Radio,Green Day
9,8,4,Freeze Me,Death From Above 1979
10,10,3,Higher,Eliza and the Bear
11,,1,The Fat Man,"Paul Heaton, Jacqui Abbott"
12,6,4,Dig Down,Muse
13,9,4,Ill Ray (The King),Kasabian
14,18,2,Listen To Your Heart,Starsailor
15,13,4,Holding On,The War On Drugs
16,12,4,I Only Lie When I Love You,Royal Blood
17,16,4,The Man,Killers
18,15,4,"Hook, Line & Sinker",Royal Blood
19,27,2,What Equals Love,Maximo Park
20,24,4,Was It Really Worth It?,The Sherlocks
21,19,3,All Things Pass,The Jesus and Mary Chain
22,21,3,Holidaze,Cold Fronts
23,,1,Imagination,Ramon Miles
24,,1,Behind Closed Doors,The Strypes
25,22,2,Take Me Back Home,Coasts
26,30,2,Don't Kill My Vibe,Sigrid
27,,1,Pumping Up Clouds,Urban Cone
28,20,2,Somebody Else,Circa Waves
29,,1,The Outfield,The Night Game
30,17,4,Don't Matter Now,George Ezra
